,ingredients,vegetables,meat,seafood,fruits,mushrooms,grains,id,dish,label
93,35 мл,0.48119837,0.4614605,0.5091379,0.46481147,0.5295095,0.49096027,70000001056052192,Эспрессо,Напитики
94,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Эспрессо,Напитики
95,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Лунго,Напитики
96,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Макиато,Напитики
103,170 мл,0.4825156,0.46438542,0.5034459,0.46267736,0.5339507,0.48891985,70000001056052192,Черный кофе,Напитики
104,210 мл,0.48305976,0.46699786,0.5076039,0.46768013,0.53079,0.4886703,70000001056052192,Американо,Напитики
105,300 мл,0.47969013,0.46925154,0.5058803,0.4639301,0.5297636,0.4876525,70000001056052192,Латте,Напитики
106,300 мл,0.47969013,0.46925154,0.5058803,0.4639301,0.5297636,0.4876525,70000001056052192,Латте макиато,Напитики
109,200 мл,0.48091125,0.46839595,0.50684303,0.46670863,0.52990705,0.49079207,70000001056052192,Капучино,Напитики
110,400 мл,0.4807283,0.4690108,0.5046563,0.46780106,0.53021955,0.48964912,70000001056052192,Капучино,Напитики
111,250 мл,0.48067194,0.47308704,0.5045921,0.46798152,0.53226393,0.49025288,70000001056052192,Черный чай,Напитики
112,250 мл,0.48067194,0.47308704,0.5045921,0.46798152,0.53226393,0.49025288,70000001056052192,Зеленый чай,Напитики
113,250 мл,0.48067194,0.47308704,0.5045921,0.46798152,0.53226393,0.49025288,70000001056052192,Ягодный чай,Напитики
120,вкуснейшая картошка фрипри заказе попросить соус бесплатно,0.47149494,0.46109262,0.49768382,0.446383,0.5573567,0.49145177,70000001056052192,Картофель фри норм,Картофель фри
121,большая порция вкуснейшей картошки фрипри заказе попросить соус бесплатно,0.47400185,0.45989066,0.49967512,0.4473715,0.5579726,0.4932957,70000001056052192,Картофель фри большой,Картофель фри
122,ароматный лаваш капуста морковь свежий огурец соус фирменный маринованный лук желанию,0.47232696,0.46339926,0.49626267,0.4571574,0.5564538,0.49171835,70000001056052192,"Шаурма ""Классика"" норм вегетарианская",Вегетарианская шаурма
123,ароматный лаваш капуста морковь свежий огурец соус фирменный маринованный лук желанию,0.47232696,0.46339926,0.49626267,0.4571574,0.5564538,0.49171835,70000001056052192,"Шаурма ""Классика"" большая вегетарианская",Вегетарианская шаурма
